State,Republican,Democratic,Others,Year,Election,PercentD,Dem Win
NH,329918,369561,11493,2012,Pres,51.97968415071198,True
NJ,1477568,2125101,37623,2012,Pres,58.37721259723121,True
NM,335788,415335,32635,2012,Pres,52.992760520466774,True
NY,2490431,4485741,104987,2012,Pres,63.34755369848354,True
NC,2270395,2178391,56586,2012,Pres,48.350968577067555,False
ND,188163,124827,9637,2012,Pres,38.69081013058423,False
OH,2661437,2827709,91701,2012,Pres,50.6680975127969,True
OK,891325,443547,0,2012,Pres,33.22768025698344,False
OR,754175,970488,64607,2012,Pres,54.239326652769,True
PA,2680434,2990274,82962,2012,Pres,51.97159378275084,True
RI,157204,279677,9168,2012,Pres,62.7009588632639,True
SC,1071645,865941,26532,2012,Pres,44.08803340736147,False
SD,210610,145039,8166,2012,Pres,39.86614075835246,False
TN,1462330,960709,35538,2012,Pres,39.07581499379519,False
TX,4569843,3308124,115884,2012,Pres,41.383358283760856,False
UT,740600,251813,25027,2012,Pres,24.74966582796037,False
VT,92698,199239,7353,2012,Pres,66.5705503023823,True
VA,1822522,1971820,60147,2012,Pres,51.15645679621864,True
WA,1290670,1755396,79450,2012,Pres,56.163398299672764,True
WV,417655,238269,14514,2012,Pres,35.53930415638732,False
WI,1407966,1620985,39483,2012,Pres,52.82776165301259,True
WY,170962,69286,8813,2012,Pres,27.818887742360303,False
Total,60933504,65915795,2236111,2012,Pres,51.06370658000776,True
AL,1318255,729547,75570,2016,Pres,34.35794575797364,False
AK,163387,116454,38767,2016,Pres,36.550871290111985,False
AZ,1252401,1161167,159597,2016,Pres,45.12602184469321,False
AR,684872,380494,65310,2016,Pres,33.651903816831705,False
CA,4483814,8753792,943998,2016,Pres,61.72638863699762,True
CO,1202484,1338870,238893,2016,Pres,48.156512712719405,True
CT,673215,897572,74133,2016,Pres,54.56630109670987,True
DE,185127,235603,23084,2016,Pres,53.08597745902562,True
DC,12723,282830,15715,2016,Pres,90.86382152999987,True
FL,4617886,4504975,297178,2016,Pres,47.82331580580505,False
GA,2089104,1877963,147665,2016,Pres,45.63998335736082,False
HI,128847,266891,33199,2016,Pres,62.22149173421738,True
ID,409055,189765,91435,2016,Pres,27.492013820979206,False
IL,2146015,3090729,299680,2016,Pres,55.8253666987933,True
IN,1557286,1033126,144546,2016,Pres,37.774839686752046,False
IA,800983,653669,111379,2016,Pres,41.740489172947406,False
KS,671018,427005,86379,2016,Pres,36.05237073223449,False
KY,1202971,628854,92324,2016,Pres,32.68218833364776,False
LA,1178638,780154,70240,2016,Pres,38.44956609851397,False
ME,335593,357735,54599,2016,Pres,47.830202680208096,True
MD,943169,1677928,160349,2016,Pres,60.32574423519277,True
MA,1090893,1995196,238957,2016,Pres,60.00506459158761,True
MI,2279543,2268839,250902,2016,Pres,47.27453095086684,False
MN,1322951,1367716,254146,2016,Pres,46.44491857377701,True
MS,700714,485131,23512,2016,Pres,40.11478827178409,False
MO,1594511,1071068,143026,2016,Pres,38.13523083523671,False
MT,279240,177709,40198,2016,Pres,35.745765337013,False
NE,495961,284494,63772,2016,Pres,33.69875637713554,False
NV,512058,539260,74067,2016,Pres,47.91782367811904,True
NH,345790,348526,49980,2016,Pres,46.82626266969056,True
NJ,1601933,2148278,123835,2016,Pres,55.4530844496942,True
NM,319667,385234,93418,2016,Pres,48.255647178634106,True
NY,2819533,4556118,345791,2016,Pres,59.00605094229808,True
NC,2362631,2189316,189617,2016,Pres,46.172866168209474,False
ND,216794,93758,33808,2016,Pres,27.226739458706007,False
OH,2841005,2394164,261318,2016,Pres,43.55807627672002,False
OK,949136,420375,83481,2016,Pres,28.931680284543894,False
OR,782403,1002106,216827,2016,Pres,50.07185200286208,True
PA,2970733,2926441,268304,2016,Pres,47.464949189665425,False
RI,180543,252525,31076,2016,Pres,54.40660657037471,True
SC,1155389,855373,92265,2016,Pres,40.67341978966509,False
SD,227721,117458,24914,2016,Pres,31.737428159948987,False
TN,1522925,870695,114407,2016,Pres,34.71633279865009,False
TX,4685047,3877868,406311,2016,Pres,43.23525798101196,False
UT,515231,310676,305523,2016,Pres,27.4587027036582,False
VT,95369,178573,41125,2016,Pres,56.67778599472493,True
VA,1769443,1981473,233715,2016,Pres,49.72789199301014,True
WA,1221747,1742718,352554,2016,Pres,52.53868006182659,True
WV,489371,188794,36258,2016,Pres,26.426080907249627,False
WI,1405284,1382536,188330,2016,Pres,46.45384137224266,False
WY,174419,55973,25457,2016,Pres,21.877357347497938,False
Total,62984828,65853514,7830934,2016,Pres,48.18457807590932,True
