,State,Democratic,Republican,Others,Year,Election,PercentD
200,PA,1948716.0,2028945.0,0.0,2010,Senate,48.99150530927598
201,SC,364598.0,810771.0,143425.0,2010,Senate,27.646319288683447
202,UT,207685.0,390179.0,35965.0,2010,Senate,32.76672414799575
203,VT,151281.0,72699.0,11198.0,2010,Senate,64.32616996487766
204,WA,1314930.0,1196164.0,0.0,2010,Senate,52.364825848813304
205,WV,283358.0,230013.0,16577.0,2010,Senate,53.46901960192321
206,WI,1020958.0,1125999.0,24374.0,2010,Senate,47.019915434358005
207,Total,33225487.0,35958608.0,5481075.0,2010,Senate,44.499312062103385
208,AZ,1036542.0,1104457.0,102423.0,2012,Senate,46.20361216035146
209,CA,7864624.0,4713887.0,0.0,2012,Senate,62.5242844721446
210,CT,792983.0,604569.0,114212.0,2012,Senate,52.454152896880736
211,DE,265415.0,115700.0,18492.0,2012,Senate,66.41900667405726
212,FL,4523451.0,3458267.0,208228.0,2012,Senate,55.23175610681682
213,HI,269489.0,160994.0,0.0,2012,Senate,62.6015429180711
214,IN,1281181.0,1133621.0,145300.0,2012,Senate,50.044138866342045
215,ME,92900.0,215399.0,392300.0,2012,Senate,13.260081730062417
216,MD,1474028.0,693291.0,465896.0,2012,Senate,55.97826231431918
217,MA,1696346.0,1458048.0,2159.0,2012,Senate,53.74045675773541
218,MI,2735826.0,1767386.0,149706.0,2012,Senate,58.79807037218365
219,MN,1854595.0,867974.0,120638.0,2012,Senate,65.22898262419866
220,MS,503467.0,709626.0,28475.0,2012,Senate,40.55090015206578
221,MO,1494125.0,1066159.0,165509.0,2012,Senate,54.81432375826044
222,MT,236123.0,218051.0,31892.0,2012,Senate,48.578382359597256
223,NE,332979.0,455593.0,0.0,2012,Senate,42.22556722784984
224,NV,446080.0,457656.0,94069.0,2012,Senate,44.706129955251775
225,NJ,1985783.0,1329405.0,59480.0,2012,Senate,58.84380330153959
226,NM,395717.0,351260.0,28816.0,2012,Senate,51.00806529576833
227,NY,4432525.0,1517578.0,729575.0,2012,Senate,66.358363382187
228,ND,161163.0,158282.0,1406.0,2012,Senate,50.229857472783316
229,OH,2762766.0,2435744.0,250617.0,2012,Senate,50.70107560348658
230,PA,3021364.0,2509132.0,98995.0,2012,Senate,53.67028742030141
231,RI,271034.0,146222.0,933.0,2012,Senate,64.81136519611945
232,TN,705882.0,1506443.0,109152.0,2012,Senate,30.406590287131856
233,TX,3194927.0,4440137.0,229758.0,2012,Senate,40.6230045638668
234,UT,301873.0,657608.0,47420.0,2012,Senate,29.980405223552264
235,VT,0.0,72898.0,219864.0,2012,Senate,0.0
236,VA,2010067.0,1785542.0,6587.0,2012,Senate,52.86594904628799
237,WA,1855493.0,1213924.0,0.0,2012,Senate,60.45099118171301
238,WV,399898.0,240787.0,19517.0,2012,Senate,60.57206733696656
239,WI,1547104.0,1380126.0,82181.0,2012,Senate,51.40886372781917
240,WY,53019.0,185250.0,6593.0,2012,Senate,21.65260432406825
241,Total,49998769.0,39131016.0,3930193.0,2012,Senate,53.72746703206829
242,AL,0.0,795606.0,22484.0,2014,Senate,0.0
243,AK,129431.0,135445.0,17524.0,2014,Senate,45.83250708215297
244,AR,334174.0,478819.0,34512.0,2014,Senate,39.430327844673485
245,CO,944203.0,983891.0,112964.0,2014,Senate,46.26046883528053
246,DE,130655.0,98823.0,4560.0,2014,Senate,55.826404259137405
247,GA,1160811.0,1358088.0,48906.0,2014,Senate,45.20635328617243
248,HI,246827.0,98006.0,8941.0,2014,Senate,69.76968347023806
249,ID,151574.0,285596.0,0.0,2014,Senate,34.67163803554681
250,IL,1929637.0,1538522.0,135360.0,2014,Senate,53.54868393922718
251,IA,494370.0,588575.0,46755.0,2014,Senate,43.76117553332743
252,KS,0.0,460350.0,405841.0,2014,Senate,0.0
253,KY,584698.0,806787.0,44383.0,2014,Senate,40.72087406363259
254,LA,1200443.0,1532156.0,13034.0,2014,Senate,43.72190310941047
255,ME,190244.0,413495.0,269.0,2014,Senate,31.496933815446155
256,MA,1289944.0,791950.0,3078.0,2014,Senate,61.868648595760526
257,MI,1704936.0,1290199.0,126640.0,2014,Senate,54.614313972019126
258,MN,1053205.0,850227.0,78096.0,2014,Senate,53.15115405888788
259,MS,239439.0,378481.0,13938.0,2014,Senate,37.89443197680492
260,MT,148184.0,213709.0,7933.0,2014,Senate,40.068572788284214
261,NE,170127.0,347636.0,22574.0,2014,Senate,31.485350808847073
262,NH,251184.0,235347.0,1628.0,2014,Senate,51.45536597706894
263,NJ,1043866.0,791297.0,34372.0,2014,Senate,55.83559548229907
264,NM,286409.0,229097.0,0.0,2014,Senate,55.558810178737005
265,NC,1377651.0,1423259.0,114371.0,2014,Senate,47.256199316635346
266,OK,472230.0,1115168.0,54225.0,2014,Senate,28.766044335392476
267,OR,814537.0,538847.0,108234.0,2014,Senate,55.7284461466676
268,RI,223675.0,92684.0,539.0,2014,Senate,70.58264804448119
269,SC,916309.0,1430156.0,132592.0,2014,Senate,36.961998050065006
270,SD,82456.0,140741.0,56215.0,2014,Senate,29.51054357006857
271,TN,437848.0,850087.0,86130.0,2014,Senate,31.865159217358713
272,TX,1597387.0,2861531.0,189440.0,2014,Senate,34.364543350576696
273,VA,1073667.0,1055940.0,54866.0,2014,Senate,49.14993227199421
274,WV,156360.0,281820.0,15509.0,2014,Senate,34.46413732755257
275,WY,29377.0,121554.0,17459.0,2014,Senate,17.445810321277985
276,Total,20865858.0,24613889.0,2013372.0,2014,Senate,43.934486593731606
277,AL,748709.0,1335104.0,3631.0,2016,Senate,35.86726158881388
278,AK,36200.0,138149.0,137092.0,2016,Senate,11.623389341801497
279,AZ,1031245.0,1359267.0,140218.0,2016,Senate,40.74891434487282
280,AR,400602.0,661984.0,44936.0,2016,Senate,36.171019627601076
281,CO,1370710.0,1215318.0,157001.0,2016,Senate,49.97067110847169
282,CT,920766.0,552621.0,122889.0,2016,Senate,57.68213015794261
283,FL,4122088.0,4835191.0,344541.0,2016,Senate,44.31485451234274
284,GA,1599726.0,2135806.0,163073.0,2016,Senate,41.03329267776551
285,HI,306604.0,92653.0,17305.0,2016,Senate,73.60344918643563
286,ID,188249.0,449017.0,41677.0,2016,Senate,27.726775296306172
287,IL,3012940.0,2184692.0,294246.0,2016,Senate,54.86174310499978
288,IN,1158947.0,1423991.0,149608.0,2016,Senate,42.41271693138926
289,IA,549460.0,926007.0,65569.0,2016,Senate,35.6552345305366
290,KS,379740.0,732376.0,65806.0,2016,Senate,32.23812782170636
291,KY,813246.0,1090177.0,42.0,2016,Senate,42.72450504737413
292,LA,1043104.0,1722080.0,52458.0,2016,Senate,37.02045895113716
293,MD,1659907.0,972557.0,93706.0,2016,Senate,60.88787566439363
294,MO,1300200.0,1378458.0,123983.0,2016,Senate,46.391956729384894
295,NV,521994.0,495079.0,91221.0,2016,Senate,47.09887448637275
296,NH,354649.0,353632.0,30859.0,2016,Senate,47.981302594907596
297,NY,4784218.0,1723920.0,888167.0,2016,Senate,64.68389283567943
298,NC,2128165.0,2395376.0,167592.0,2016,Senate,45.365693106548036
299,ND,58116.0,268788.0,15597.0,2016,Senate,16.96812564050908
300,OH,1996908.0,3118567.0,258689.0,2016,Senate,37.15755604034413
301,OK,355911.0,980892.0,111244.0,2016,Senate,24.578691161267553
302,OR,1105119.0,651106.0,196253.0,2016,Senate,56.60084262153018
303,PA,2865012.0,2951702.0,241797.0,2016,Senate,47.28904511356008
304,SC,704540.0,1241609.0,103744.0,2016,Senate,34.36959880344974
305,SD,104140.0,265516.0,0.0,2016,Senate,28.172138420585625
306,UT,301860.0,760241.0,53507.0,2016,Senate,27.057891302321245
307,VT,192243.0,103637.0,17929.0,2016,Senate,61.261149297821284
308,WA,1913979.0,1329338.0,0.0,2016,Senate,59.01301044578745
309,WI,1380335.0,1479471.0,88935.0,2016,Senate,46.810994929700506
310,Total,51653808.0,41324322.0,4283315.0,2016,Senate,53.108205414797204
311,AZ,1191100.0,1135200.0,58008.0,2018,Senate,49.9557943017429
312,CA,6019422.0,5093942.0,0.0,2018,Senate,54.1638157447196
313,CT,787685.0,545717.0,53438.0,2018,Senate,56.79710709238268
314,DE,217385.0,137127.0,8094.0,2018,Senate,59.9507454371963
315,FL,4089472.0,4099505.0,1028.0,2018,Senate,49.93247256869807
316,HI,276316.0,112035.0,0.0,2018,Senate,71.15109784705074
317,IN,1023553.0,1158000.0,101012.0,2018,Senate,44.8422279321728
318,ME,66268.0,223502.0,344639.0,2018,Senate,10.445627347657425
319,MD,1491614.0,697017.0,111258.0,2018,Senate,64.85591261143473
320,MA,1633371.0,979210.0,94509.0,2018,Senate,60.33678230129031
321,MI,2214478.0,1938818.0,83975.0,2018,Senate,52.261892147091835
322,MN,2936714.0,2036214.0,211307.0,2018,Senate,56.64700770701946
323,MS,369567.0,547619.0,1872084.0,2018,Senate,13.249595772370547
324,MO,1112935.0,1254927.0,74427.0,2018,Senate,45.56934089290825
325,MT,253876.0,235963.0,14545.0,2018,Senate,50.333872604999364
326,NE,269917.0,403151.0,25815.0,2018,Senate,38.621199828869784
327,NV,490071.0,441202.0,40859.0,2018,Senate,50.411981088987915
328,NJ,1711654.0,1357355.0,100301.0,2018,Senate,54.007149821254465
329,NM,376998.0,212813.0,107201.0,2018,Senate,54.0877345009842
330,NY,3755489.0,1730439.0,573095.0,2018,Senate,61.98175844521469
331,ND,144376.0,179720.0,2042.0,2018,Senate,44.268377190023855
332,OH,2358508.0,2057559.0,1017.0,2018,Senate,53.395135795470495
333,PA,2792437.0,2134848.0,83683.0,2018,Senate,55.72649835321239
334,RI,231477.0,144421.0,840.0,2018,Senate,61.4424347955343
335,TN,985450.0,1227483.0,30807.0,2018,Senate,43.91997290238619
336,TX,4045632.0,4260553.0,65470.0,2018,Senate,48.32535502239402
337,UT,328541.0,665215.0,69141.0,2018,Senate,30.9099564680303
338,VT,0.0,74815.0,197809.0,2018,Senate,0.0
339,VA,1910370.0,1374313.0,67074.0,2018,Senate,56.99607698290777
340,WA,1803364.0,1282804.0,0.0,2018,Senate,58.433759924929554
341,WV,290510.0,271113.0,24411.0,2018,Senate,49.5722091209725
342,WI,1472914.0,1184885.0,2964.0,2018,Senate,55.356828097805035
343,WY,61227.0,136210.0,5983.0,2018,Senate,30.09881034313244
344,Total,46712691.0,39333695.0,4426836.0,2018,Senate,51.631510371101854
