State,Republican,Democratic,Others,Year,Election,PercentD,Change
HI,128847,266891,33199,2016,Pres,62.22149173421738,-8.323738621639691
ID,409055,189765,91435,2016,Pres,27.492013820979206,-5.130319738230572
IL,2146015,3090729,299680,2016,Pres,55.8253666987933,-1.7767686636837894
IN,1557286,1033126,144546,2016,Pres,37.774839686752046,-6.152463217306348
IA,800983,653669,111379,2016,Pres,41.740489172947406,-10.247527361201676
KS,671018,427005,86379,2016,Pres,36.05237073223449,-1.9421998216845253
KY,1202971,628854,92324,2016,Pres,32.68218833364776,-5.119139500798042
LA,1178638,780154,70240,2016,Pres,38.44956609851397,-2.1278975247881817
ME,335593,357735,54599,2016,Pres,47.830202680208096,-8.439743196008294
MD,943169,1677928,160349,2016,Pres,60.32574423519277,-1.6484465441257186
MA,1090893,1995196,238957,2016,Pres,60.00506459158761,-0.6461764876963088
MI,2279543,2268839,250902,2016,Pres,47.27453095086684,-6.933673259651911
MN,1322951,1367716,254146,2016,Pres,46.44491857377701,-6.207384579469249
MS,700714,485131,23512,2016,Pres,40.11478827178409,-3.674571272205256
MO,1594511,1071068,143026,2016,Pres,38.13523083523671,-6.248252710216619
MT,279240,177709,40198,2016,Pres,35.745765337013,-5.952372037792806
NE,495961,284494,63772,2016,Pres,33.69875637713554,-4.328558040793439
NV,512058,539260,74067,2016,Pres,47.91782367811904,-4.438425792281521
NH,345790,348526,49980,2016,Pres,46.82626266969056,-5.153421481021425
NJ,1601933,2148278,123835,2016,Pres,55.4530844496942,-2.9241281475370045
NM,319667,385234,93418,2016,Pres,48.255647178634106,-4.737113341832668
NY,2819533,4556118,345791,2016,Pres,59.00605094229808,-4.341502756185456
NC,2362631,2189316,189617,2016,Pres,46.172866168209474,-2.1781024088580807
ND,216794,93758,33808,2016,Pres,27.226739458706007,-11.464070671878225
OH,2841005,2394164,261318,2016,Pres,43.55807627672002,-7.110021236076875
OK,949136,420375,83481,2016,Pres,28.931680284543894,-4.295999972439546
OR,782403,1002106,216827,2016,Pres,50.07185200286208,-4.1674746499069215
PA,2970733,2926441,268304,2016,Pres,47.464949189665425,-4.5066445930854115
RI,180543,252525,31076,2016,Pres,54.40660657037471,-8.294352292889187
SC,1155389,855373,92265,2016,Pres,40.67341978966509,-3.414613617696382
SD,227721,117458,24914,2016,Pres,31.737428159948987,-8.128712598403471
TN,1522925,870695,114407,2016,Pres,34.71633279865009,-4.359482195145098
TX,4685047,3877868,406311,2016,Pres,43.23525798101196,1.8518996972511061
UT,515231,310676,305523,2016,Pres,27.4587027036582,2.70903687569783
VT,95369,178573,41125,2016,Pres,56.67778599472493,-9.892764307657373
VA,1769443,1981473,233715,2016,Pres,49.72789199301014,-1.428564803208502
WA,1221747,1742718,352554,2016,Pres,52.53868006182659,-3.6247182378461744
WV,489371,188794,36258,2016,Pres,26.426080907249627,-9.11322324913769
WI,1405284,1382536,188330,2016,Pres,46.45384137224266,-6.37392028076993
WY,174419,55973,25457,2016,Pres,21.877357347497938,-5.941530394862365
Total,62984828,65853514,7830934,2016,Pres,48.18457807590932,-2.879128504098439
