state,year,totals,pct
OK,2000,156988,-7.346726787695646
OK,2001,164126,4.54684434479069
OK,2002,159489,-2.8252683913578602
OK,2003,167551,5.05489406792945
OK,2004,173188,3.364348765450509
OK,2005,182031,5.10601196387741
OK,2006,190741,4.784899275398136
OK,2007,189081,-0.8702900792173729
OK,2008,221612,17.204795828242926
OK,2009,234562,5.843546378354958
OK,2010,233909,-0.278391214263185
OK,2011,271816,16.205874934269303
OK,2012,367976,35.376872590281664
OK,2013,380634,3.439898254233964
OK,2014,348495,-8.443544192058516
OK,2015,359276,3.0935881433019174
OK,2016,364590,1.4790857168305083
OK,2017,334351,-8.293974053045883
OK,2018,332291,-0.6161189887274099
OK,2019,360043,8.35171581535461
OR,2000,135336,-15.603836416019156
OR,2001,141295,4.403115209552522
OR,2002,137513,-2.676669379666652
OR,2003,142960,3.9610800433413473
OR,2004,149688,4.706211527700055
OR,2005,158045,5.5829458607236315
OR,2006,163705,3.5812585023252907
OR,2007,162629,-0.6572798631685028
OR,2008,179887,10.611883489414552
OR,2009,185043,2.866243808613178
OR,2010,184835,-0.11240630556140774
OR,2011,209781,13.496361619823084
OR,2012,267041,27.295131589610122
OR,2013,274302,2.719058122161022
OR,2014,243044,-11.395469227347954
OR,2015,276126,13.61152713088989
OR,2016,324708,17.594141804828233
OR,2017,341167,5.068861869741426
OR,2018,359682,5.426960989779195
OR,2019,357700,-0.5510423095956951
PA,2000,481294,-11.127401648955326
PA,2001,509881,5.939612793843274
PA,2002,567702,11.340097003026205
PA,2003,515896,-9.125562354897465
PA,2004,504813,-2.1483012079954067
PA,2005,482977,-4.325562138851414
PA,2006,520454,7.759582754458294
PA,2007,562603,8.09850630411142
PA,2008,598544,6.388341334831127
PA,2009,641696,7.209495041300218
PA,2010,626677,-2.3405163815887864
PA,2011,718934,14.721618952027926
PA,2012,968534,34.718068696152926
PA,2013,1044731,7.867250917365842
PA,2014,899241,-13.926072835974047
PA,2015,993429,10.47416654712141
PA,2016,1143220,15.078178712318646
PA,2017,1062651,-7.047549902905825
PA,2018,1021943,-3.8307967526497455
PA,2019,987886,-3.3325733431316618
RI,2000,9414,-11.82916549592582
RI,2001,10233,8.69980879541108
RI,2002,9521,-6.957881364213813
RI,2003,9660,1.4599306795504585
RI,2004,10054,4.0786749482401685
RI,2005,9649,-4.028247463696044
RI,2006,9936,2.974401492382639
RI,2007,10222,2.8784219001610323
RI,2008,12405,21.3558990412835
